center, left, right, steering, throttle, brake, speed
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_25_991.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_25_991.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_25_991.jpg,-0.1,1,0,14.53708
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_26_060.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_26_060.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_26_060.jpg,-0.25,1,0,15.23471
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_26_131.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_26_131.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_26_131.jpg,-0.45,1,0,16.04428
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_26_210.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_26_210.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_26_210.jpg,0,1,0,16.83626
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_26_287.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_26_287.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_26_287.jpg,0,1,0,17.68779
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_26_361.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_26_361.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_26_361.jpg,0,1,0,18.15462
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_26_433.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_26_433.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_26_433.jpg,-0.1,1,0,18.98343
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_26_504.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_26_504.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_26_504.jpg,-0.25,1,0,19.70549
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_26_574.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_26_574.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_26_574.jpg,-0.45,1,0,20.42104
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_26_646.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_26_646.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_26_646.jpg,0,1,0,21.19029
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_26_715.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_26_715.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_26_715.jpg,-0.05,1,0,21.72272
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_26_788.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_26_788.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_26_788.jpg,-0.25,1,0,22.51071
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_26_858.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_26_858.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_26_858.jpg,-0.4,1,0,23.06985
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_26_933.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_26_933.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_26_933.jpg,0,1,0,23.76529
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_001.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_001.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_001.jpg,-0.1,1,0,24.33791
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_074.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_074.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_074.jpg,-0.3,1,0,25.09076
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_141.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_141.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_141.jpg,0,1,0,25.62198
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_208.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_208.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_208.jpg,0,1,0,26.37086
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_278.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_278.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_278.jpg,-0.15,1,0,26.93547
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_348.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_348.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_348.jpg,-0.35,1,0,27.63701
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_421.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_421.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_421.jpg,0,1,0,28.18654
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_491.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_491.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_491.jpg,0,1,0,28.92399
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_559.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_559.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_559.jpg,-0.15,1,0,29.47126
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_630.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_630.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_630.jpg,-0.35,1,0,30.14327
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_699.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_699.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_699.jpg,0,1,0,30.17967
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_768.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_768.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_768.jpg,-0.05,1,0,30.1895
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_839.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_839.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_839.jpg,-0.2,1,0,30.18672
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_906.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_906.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_906.jpg,-0.4,1,0,30.16313
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_27_975.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_27_975.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_27_975.jpg,0,1,0,30.18725
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_28_046.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_28_046.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_28_046.jpg,0,1,0,30.1898
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_28_120.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_28_120.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_28_120.jpg,-0.15,1,0,30.18746
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_28_188.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_28_188.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_28_188.jpg,0,1,0,30.18999
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_28_263.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_28_263.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_28_263.jpg,0,1,0,30.19006
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_28_340.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_28_340.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_28_340.jpg,-0.1,1,0,30.19036
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_28_414.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_28_414.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_28_414.jpg,-0.3,1,0,30.17122
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_28_488.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_28_488.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_28_488.jpg,0,1,0,30.1883
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_28_555.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_28_555.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_28_555.jpg,0,1,0,30.18903
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_28_626.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_28_626.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_28_626.jpg,-0.2,1,0,30.18415
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_28_702.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_28_702.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_28_702.jpg,-0.35,1,0,30.16817
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_28_772.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_28_772.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_28_772.jpg,0,1,0,30.1892
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_28_842.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_28_842.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_28_842.jpg,0,1,0,30.19008
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_28_913.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_28_913.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_28_913.jpg,-0.2,1,0,30.1832
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_28_980.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_28_980.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_28_980.jpg,0,1,0,30.19025
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_29_052.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_29_052.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_29_052.jpg,0,1,0,30.19034
C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\center_2018_06_21_10_19_29_120.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\left_2018_06_21_10_19_29_120.jpg,C:\Users\Interns\Documents\GitHub\InternProject\car-behavioral-cloning\images\IMG\right_2018_06_21_10_19_29_120.jpg,-0.1,1,0,30.18947
